"Indicator.Code","Indicator.Name"
"UIS.AFR.PBR.1.G1.PU.MATH","Africa Dataset: Average number of pupils per mathematics textbook in Grade 1 of primary education (number)"
"UIS.AFR.PBR.1.G2.PU.MATH","Africa Dataset: Average number of pupils per mathematics textbook in Grade 2 of primary education (number)"
"UIS.AFR.PBR.1.G3.PU.MATH","Africa Dataset: Average number of pupils per mathematics textbook in Grade 3 of primary education (number)"
"UIS.AFR.PBR.1.G4.PU.MATH","Africa Dataset: Average number of pupils per mathematics textbook in Grade 4 of primary education (number)"
"UIS.AFR.PBR.1.G5.PU.MATH","Africa Dataset: Average number of pupils per mathematics textbook in Grade 5 of primary education (number)"
"UIS.AFR.PBR.1.G6.PU.MATH","Africa Dataset: Average number of pupils per mathematics textbook in Grade 6 of primary education (number)"
"UIS.AFR.PBR.1.G7.PU.MATH","Africa Dataset: Average number of pupils per mathematics textbook in Grade 7 of primary education (number)"
"UIS.AFR.PBR.1.PU.MATH","Africa Dataset: Average number of pupils per mathematics textbook in primary education (number)"
"UIS.AFR.PBR.1.G1.PU.READ","Africa Dataset: Average number of pupils per reading textbook in Grade 1 of primary education (number)"
"UIS.AFR.PBR.1.G2.PU.READ","Africa Dataset: Average number of pupils per reading textbook in Grade 2 of primary education (number)"
"UIS.AFR.PBR.1.G3.PU.READ","Africa Dataset: Average number of pupils per reading textbook in Grade 3 of primary education (number)"
"UIS.AFR.PBR.1.G4.PU.READ","Africa Dataset: Average number of pupils per reading textbook in Grade 4 of primary education (number)"
"UIS.AFR.PBR.1.G5.PU.READ","Africa Dataset: Average number of pupils per reading textbook in Grade 5 of primary education (number)"
"UIS.AFR.PBR.1.G6.PU.READ","Africa Dataset: Average number of pupils per reading textbook in Grade 6 of primary education (number)"
"UIS.AFR.PBR.1.G7.PU.READ","Africa Dataset: Average number of pupils per reading textbook in Grade 7 of primary education (number)"
"UIS.AFR.PBR.1.PU.READ","Africa Dataset: Average number of pupils per reading textbook in primary education (number)"
"UIS.AFR.CS.1.PU","Africa Dataset: Average size of classes in primary schools (number of pupils)"
"UIS.AFR.CS.MG.1.PU","Africa Dataset: Average size of multigrade classes in primary schools (number of pupils)"
"UIS.AFR.CS.SG.1.G1.PU","Africa Dataset: Average size of single grade classes in Grade 1 of primary schools (number of pupils)"
"UIS.AFR.CS.SG.1.G2.PU","Africa Dataset: Average size of single grade classes in Grade 2 of primary schools (number of pupils)"
"UIS.AFR.CS.SG.1.G3.PU","Africa Dataset: Average size of single grade classes in Grade 3 of primary schools (number of pupils)"
"UIS.AFR.CS.SG.1.G4.PU","Africa Dataset: Average size of single grade classes in Grade 4 of primary schools (number of pupils)"
"UIS.AFR.CS.SG.1.G5.PU","Africa Dataset: Average size of single grade classes in Grade 5 of primary schools (number of pupils)"
"UIS.AFR.CS.SG.1.G6.PU","Africa Dataset: Average size of single grade classes in Grade 6 of primary schools (number of pupils)"
"UIS.AFR.CS.SG.1.G7.PU","Africa Dataset: Average size of single grade classes in Grade 7 of primary schools (number of pupils)"
"UIS.AFR.CS.SG.1.PU","Africa Dataset: Average size of single grade classes in primary schools (number of pupils)"
"UIS.AFR.GTC.2.T","Africa Dataset: Graduates from accredited pre-service lower secondary teacher training programmes, both sexes (number)"
"UIS.AFR.GTC.2.F","Africa Dataset: Graduates from accredited pre-service lower secondary teacher training programmes, female (number)"
"UIS.AFR.GTC.1T3.T","Africa Dataset: Graduates from accredited pre-service primary or secondary teacher training programmes, both sexes (number)"
"UIS.AFR.GTC.1T3.F","Africa Dataset: Graduates from accredited pre-service primary or secondary teacher training programmes, female (number)"
"UIS.AFR.GTC.1.T","Africa Dataset: Graduates from accredited pre-service primary teacher training programmes, both sexes (number)"
"UIS.AFR.GTC.1.F","Africa Dataset: Graduates from accredited pre-service primary teacher training programmes, female (number)"
"UIS.AFR.GTC.UK.T","Africa Dataset: Graduates from accredited pre-service teacher training programmes, level unspecified, both sexes (number)"
"UIS.AFR.GTC.UK.F","Africa Dataset: Graduates from accredited pre-service teacher training programmes, level unspecified, female (number)"
"UIS.AFR.GTC.3.T","Africa Dataset: Graduates from accredited pre-service upper secondary teacher training programmes, both sexes (number)"
"UIS.AFR.GTC.3.F","Africa Dataset: Graduates from accredited pre-service upper secondary teacher training programmes, female (number)"
"UIS.AFR.TRNTP.2.PU.F","Africa Dataset: Percentage of female newly recruited teachers in lower secondary education who are trained, female (%)"
"UIS.AFR.TRNTP.1.PU.F","Africa Dataset: Percentage of female newly recruited teachers in primary education who are trained, female (%)"
"UIS.AFR.TRNTP.3.PU.F","Africa Dataset: Percentage of female newly recruited teachers in upper secondary education who are trained, female (%)"
"UIS.AFR.NTP.2.PU.F","Africa Dataset: Percentage of female teachers in lower secondary education who are newly recruited, female (%)"
"UIS.AFR.NTP.1.PU.F","Africa Dataset: Percentage of female teachers in primary education who are newly recruited, female (%)"
"UIS.AFR.NTP.3.PU.F","Africa Dataset: Percentage of female teachers in upper secondary education who are newly recruited, female (%)"
"UIS.AFR.SCHBSP.2.PU.WELEC","Africa Dataset: Percentage of lower secondary schools with access to electricity (%)"
"UIS.AFR.SCHBSP.2.PU.WPOWAT","Africa Dataset: Percentage of lower secondary schools with access to potable water (%)"
"UIS.AFR.SCHBSP.2.PU.MIXTOIL","Africa Dataset: Percentage of lower secondary schools with mixed-sex toilets (%)"
"UIS.AFR.SCHBSP.2.PU.WNIELEC","Africa Dataset: Percentage of lower secondary schools with no information on electricity (%)"
"UIS.AFR.SCHBSP.2.PU.WNIPOWAT","Africa Dataset: Percentage of lower secondary schools with no information on potable water (%)"
"UIS.AFR.SCHBSP.2.PU.WNITOIL","Africa Dataset: Percentage of lower secondary schools with no information on toilets (%)"
"UIS.AFR.SCHBSP.2.PU.WSTOIL","Africa Dataset: Percentage of lower secondary schools with single-sex toilets (%)"
"UIS.AFR.SCHBSP.2.PU.WTOIL","Africa Dataset: Percentage of lower secondary schools with toilets (%)"
"UIS.AFR.SCHBSP.2.PU.WOELEC","Africa Dataset: Percentage of lower secondary schools without access to electricity (%)"
"UIS.AFR.SCHBSP.2.PU.WOPOWAT","Africa Dataset: Percentage of lower secondary schools without access to potable water (%)"
"UIS.AFR.SCHBSP.2.PU.WOTOIL","Africa Dataset: Percentage of lower secondary schools without toilets (%)"
"UIS.AFR.TRNTP.2.PU.M","Africa Dataset: Percentage of male newly recruited teachers in lower secondary education who are trained, male (%)"
"UIS.AFR.TRNTP.1.PU.M","Africa Dataset: Percentage of male newly recruited teachers in primary education who are trained, male (%)"
"UIS.AFR.TRNTP.3.PU.M","Africa Dataset: Percentage of male newly recruited teachers in upper secondary education who are trained, male (%)"
"UIS.AFR.NTP.2.PU.M","Africa Dataset: Percentage of male teachers in lower secondary education who are newly recruited, male (%)"
"UIS.AFR.NTP.1.PU.M","Africa Dataset: Percentage of male teachers in primary education who are newly recruited, male (%)"
"UIS.AFR.NTP.3.PU.M","Africa Dataset: Percentage of male teachers in upper secondary education who are newly recruited, male (%)"
"UIS.AFR.FNTP.2","Africa Dataset: Percentage of newly recruited teachers in lower secondary education who are female (%)"
"UIS.AFR.TRNTP.2.PU.T","Africa Dataset: Percentage of newly recruited teachers in lower secondary education who are trained, both sexes (%)"
"UIS.AFR.FNTP.1","Africa Dataset: Percentage of newly recruited teachers in primary education who are female (%)"
"UIS.AFR.TRNTP.1.PU.T","Africa Dataset: Percentage of newly recruited teachers in primary education who are trained, both sexes (%)"
"UIS.AFR.FNTP.3","Africa Dataset: Percentage of newly recruited teachers in upper secondary education who are female (%)"
"UIS.AFR.TRNTP.3.PU.T","Africa Dataset: Percentage of newly recruited teachers in upper secondary education who are trained, both sexes (%)"
"UIS.AFR.ECP.MG.1.PU","Africa Dataset: Percentage of primary pupils in multigrade classes (%)"
"UIS.AFR.SCHBSP.1.PU.WELEC","Africa Dataset: Percentage of primary schools with access to electricity (%)"
"UIS.AFR.SCHBSP.1.PU.WPOWAT","Africa Dataset: Percentage of primary schools with access to potable water (%)"
"UIS.AFR.SCHBSP.1.PU.MIXTOIL","Africa Dataset: Percentage of primary schools with mixed-sex toilets (%)"
"UIS.AFR.SCHBSP.1.PU.WNIELEC","Africa Dataset: Percentage of primary schools with no information on electricity (%)"
"UIS.AFR.SCHBSP.1.PU.WNIPOWAT","Africa Dataset: Percentage of primary schools with no information on potable water (%)"
"UIS.AFR.SCHBSP.1.PU.WNITOIL","Africa Dataset: Percentage of primary schools with no information on toilets (%)"
"UIS.AFR.SCHBSP.1.PU.WSTOIL","Africa Dataset: Percentage of primary schools with single-sex toilets (%)"
"UIS.AFR.SCHBSP.1.PU.WTOIL","Africa Dataset: Percentage of primary schools with toilets (%)"
"UIS.AFR.SCHBSP.1.PU.WOELEC","Africa Dataset: Percentage of primary schools without access to electricity (%)"
"UIS.AFR.SCHBSP.1.PU.WOPOWAT","Africa Dataset: Percentage of primary schools without access to potable water (%)"
"UIS.AFR.SCHBSP.1.PU.WOTOIL","Africa Dataset: Percentage of primary schools without toilets (%)"
"UIS.AFR.NTP.2.PU.T","Africa Dataset: Percentage of teachers in lower secondary education who are newly recruited, both sexes (%)"
"UIS.AFR.NTP.1.PU.T","Africa Dataset: Percentage of teachers in primary education who are newly recruited, both sexes (%)"
"UIS.AFR.NTP.3.PU.T","Africa Dataset: Percentage of teachers in upper secondary education who are newly recruited, both sexes (%)"
"UIS.AFR.GTCTR.2.T","Africa Dataset: Ratio of teacher training graduates to teachers in lower secondary education, both sexes"
"UIS.AFR.GTCTR.2.F","Africa Dataset: Ratio of teacher training graduates to teachers in lower secondary education, female"
"UIS.AFR.GTCTR.2.M","Africa Dataset: Ratio of teacher training graduates to teachers in lower secondary education, male"
"UIS.AFR.GTCTR.1.T","Africa Dataset: Ratio of teacher training graduates to teachers in primary education, both sexes"
"UIS.AFR.GTCTR.1.F","Africa Dataset: Ratio of teacher training graduates to teachers in primary education, female"
"UIS.AFR.GTCTR.1.M","Africa Dataset: Ratio of teacher training graduates to teachers in primary education, male"
"UIS.AFR.GTCTR.3.T","Africa Dataset: Ratio of teacher training graduates to teachers in upper secondary education, both sexes"
"UIS.AFR.GTCTR.3.F","Africa Dataset: Ratio of teacher training graduates to teachers in upper secondary education, female"
"UIS.AFR.GTCTR.3.M","Africa Dataset: Ratio of teacher training graduates to teachers in upper secondary education, male"
"UIS.AFR.SCHCENRESPR.1.PU","Africa Dataset: School census return rate from primary schools"
"UIS.AFR.SCHCENRESPR.23.PU","Africa Dataset: School census return rate from secondary schools"
"UIS.AFR.TATTRR.2.PU.T","Africa Dataset: Teacher attrition rate from public lower secondary education, both sexes (%)"
"UIS.AFR.TATTRR.2.Pu.F","Africa Dataset: Teacher attrition rate from public lower secondary education, female (%)"
"UIS.AFR.TATTRR.2.Pu.M","Africa Dataset: Teacher attrition rate from public lower secondary education, male (%)"
"UIS.AFR.TATTRR.1.PU.T","Africa Dataset: Teacher attrition rate from public primary education, both sexes (%)"
"UIS.AFR.TATTRR.1.PU.F","Africa Dataset: Teacher attrition rate from public primary education, female (%)"
"UIS.AFR.TATTRR.1.PU.M","Africa Dataset: Teacher attrition rate from public primary education, male (%)"
"UIS.AFR.TATTRR.3.Pu.T","Africa Dataset: Teacher attrition rate from public upper secondary education, both sexes (%)"
"UIS.AFR.TATTRR.3.Pu.F","Africa Dataset: Teacher attrition rate from public upper secondary education, female (%)"
"UIS.AFR.TATTRR.3.Pu.M","Africa Dataset: Teacher attrition rate from public upper secondary education, male (%)"
"UIS.XSPENDP.2.FDPUB.FNS","All staff compensation as % of total expenditure in lower secondary public institutions (%)"
"UIS.XSPENDP.4.FDPUB.FNS","All staff compensation as % of total expenditure in post-secondary non-tertiary public institutions (%)"
"UIS.XSPENDP.0.FDPUB.FNS","All staff compensation as % of total expenditure in pre-primary public institutions (%)"
"UIS.XSPENDP.1.FDPUB.FNS","All staff compensation as % of total expenditure in primary public institutions (%)"
"UIS.XSPENDP.FDPUB.FNS","All staff compensation as % of total expenditure in public institutions (%)"
"UIS.XSPENDP.23.FDPUB.FNS","All staff compensation as % of total expenditure in secondary public institutions (%)"
"UIS.XSPENDP.56.FDPUB.FNS","All staff compensation as % of total expenditure in tertiary public institutions (%)"
"UIS.XSPENDP.3.FDPUB.FNS","All staff compensation as % of total expenditure in upper secondary public institutions (%)"
"OECD.TSAL.2.E10","Annual statutory teacher salaries in public institutions in USD. Lower Secondary. 10 years of experience"
"OECD.TSAL.2.E15","Annual statutory teacher salaries in public institutions in USD. Lower Secondary. 15 years of experience"
"OECD.TSAL.2.E0","Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary"
"OECD.TSAL.2.ETOP","Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Top of scale"
"OECD.TSAL.0.E10","Annual statutory teacher salaries in public institutions in USD. Pre-Primary. 10 years of experience"
"OECD.TSAL.0.E15","Annual statutory teacher salaries in public institutions in USD. Pre-Primary. 15 years of experience"
"OECD.TSAL.0.E0","Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary"
"OECD.TSAL.0.ETOP","Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Top of scale"
"OECD.TSAL.1.E10","Annual statutory teacher salaries in public institutions in USD. Primary. 10 years of experience"
"OECD.TSAL.1.E15","Annual statutory teacher salaries in public institutions in USD. Primary. 15 years of experience"
"OECD.TSAL.1.E0","Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary"
"OECD.TSAL.1.ETOP","Annual statutory teacher salaries in public institutions in USD. Primary. Top of scale"
"OECD.TSAL.3.E10","Annual statutory teacher salaries in public institutions in USD. Upper Secondary. 10 years of experience"
"OECD.TSAL.3.E15","Annual statutory teacher salaries in public institutions in USD. Upper Secondary. 15 years of experience"
"OECD.TSAL.3.E0","Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary"
"OECD.TSAL.3.ETOP","Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Top of scale"
"BAR.PRM.SCHL.15UP.FE","Barro-Lee: Average years of primary schooling, age 15+, female"
"BAR.PRM.SCHL.15UP","Barro-Lee: Average years of primary schooling, age 15+, total"
"BAR.PRM.SCHL.1519.FE","Barro-Lee: Average years of primary schooling, age 15-19, female"
"BAR.PRM.SCHL.1519","Barro-Lee: Average years of primary schooling, age 15-19, total"
"BAR.PRM.SCHL.2024.FE","Barro-Lee: Average years of primary schooling, age 20-24, female"
"BAR.PRM.SCHL.2024","Barro-Lee: Average years of primary schooling, age 20-24, total"
"BAR.PRM.SCHL.25UP.FE","Barro-Lee: Average years of primary schooling, age 25+, female"
"BAR.PRM.SCHL.25UP","Barro-Lee: Average years of primary schooling, age 25+, total"
"BAR.PRM.SCHL.2529.FE","Barro-Lee: Average years of primary schooling, age 25-29, female"
"BAR.PRM.SCHL.2529","Barro-Lee: Average years of primary schooling, age 25-29, total"
"BAR.PRM.SCHL.3034.FE","Barro-Lee: Average years of primary schooling, age 30-34, female"
"BAR.PRM.SCHL.3034","Barro-Lee: Average years of primary schooling, age 30-34, total"
"BAR.PRM.SCHL.3539.FE","Barro-Lee: Average years of primary schooling, age 35-39, female"
"BAR.PRM.SCHL.3539","Barro-Lee: Average years of primary schooling, age 35-39, total"
"BAR.PRM.SCHL.4044.FE","Barro-Lee: Average years of primary schooling, age 40-44, female"
"BAR.PRM.SCHL.4044","Barro-Lee: Average years of primary schooling, age 40-44, total"
"BAR.PRM.SCHL.4549.FE","Barro-Lee: Average years of primary schooling, age 45-49, female"
"BAR.PRM.SCHL.4549","Barro-Lee: Average years of primary schooling, age 45-49, total"
"BAR.PRM.SCHL.5054.FE","Barro-Lee: Average years of primary schooling, age 50-54, female"
"BAR.PRM.SCHL.5054","Barro-Lee: Average years of primary schooling, age 50-54, total"
"BAR.PRM.SCHL.5559.FE","Barro-Lee: Average years of primary schooling, age 55-59, female"
"BAR.PRM.SCHL.5559","Barro-Lee: Average years of primary schooling, age 55-59, total"
"BAR.PRM.SCHL.6064.FE","Barro-Lee: Average years of primary schooling, age 60-64, female"
"BAR.PRM.SCHL.6064","Barro-Lee: Average years of primary schooling, age 60-64, total"
"BAR.PRM.SCHL.6569.FE","Barro-Lee: Average years of primary schooling, age 65-69, female"
"BAR.PRM.SCHL.6569","Barro-Lee: Average years of primary schooling, age 65-69, total"
"BAR.PRM.SCHL.7074.FE","Barro-Lee: Average years of primary schooling, age 70-74, female"
"BAR.PRM.SCHL.7074","Barro-Lee: Average years of primary schooling, age 70-74, total"
"BAR.PRM.SCHL.75UP.FE","Barro-Lee: Average years of primary schooling, age 75+, female"
"BAR.PRM.SCHL.75UP","Barro-Lee: Average years of primary schooling, age 75+, total"
"BAR.SEC.SCHL.15UP.FE","Barro-Lee: Average years of secondary schooling, age 15+, female"
"BAR.SEC.SCHL.15UP","Barro-Lee: Average years of secondary schooling, age 15+, total"
"BAR.SEC.SCHL.1519.FE","Barro-Lee: Average years of secondary schooling, age 15-19, female"
"BAR.SEC.SCHL.1519","Barro-Lee: Average years of secondary schooling, age 15-19, total"
"BAR.SEC.SCHL.2024.FE","Barro-Lee: Average years of secondary schooling, age 20-24, female"
"BAR.SEC.SCHL.2024","Barro-Lee: Average years of secondary schooling, age 20-24, total"
"BAR.SEC.SCHL.25UP.FE","Barro-Lee: Average years of secondary schooling, age 25+, female"
"BAR.SEC.SCHL.25UP","Barro-Lee: Average years of secondary schooling, age 25+, total"
"BAR.SEC.SCHL.2529.FE","Barro-Lee: Average years of secondary schooling, age 25-29, female"
"BAR.SEC.SCHL.2529","Barro-Lee: Average years of secondary schooling, age 25-29, total"
"BAR.SEC.SCHL.3034.FE","Barro-Lee: Average years of secondary schooling, age 30-34, female"
"BAR.SEC.SCHL.3034","Barro-Lee: Average years of secondary schooling, age 30-34, total"
"BAR.SEC.SCHL.3539.FE","Barro-Lee: Average years of secondary schooling, age 35-39, female"
"BAR.SEC.SCHL.3539","Barro-Lee: Average years of secondary schooling, age 35-39, total"
"BAR.SEC.SCHL.4044.FE","Barro-Lee: Average years of secondary schooling, age 40-44, female"
"BAR.SEC.SCHL.4044","Barro-Lee: Average years of secondary schooling, age 40-44, total"
"BAR.SEC.SCHL.4549.FE","Barro-Lee: Average years of secondary schooling, age 45-49, female"
"BAR.SEC.SCHL.4549","Barro-Lee: Average years of secondary schooling, age 45-49, total"
"BAR.SEC.SCHL.5054.FE","Barro-Lee: Average years of secondary schooling, age 50-54, female"
"BAR.SEC.SCHL.5054","Barro-Lee: Average years of secondary schooling, age 50-54, total"
"BAR.SEC.SCHL.5559.FE","Barro-Lee: Average years of secondary schooling, age 55-59, female"
"BAR.SEC.SCHL.5559","Barro-Lee: Average years of secondary schooling, age 55-59, total"
"BAR.SEC.SCHL.6064.FE","Barro-Lee: Average years of secondary schooling, age 60-64, female"
"BAR.SEC.SCHL.6064","Barro-Lee: Average years of secondary schooling, age 60-64, total"
"BAR.SEC.SCHL.6569.FE","Barro-Lee: Average years of secondary schooling, age 65-69, female"
"BAR.SEC.SCHL.6569","Barro-Lee: Average years of secondary schooling, age 65-69, total"
"BAR.SEC.SCHL.7074.FE","Barro-Lee: Average years of secondary schooling, age 70-74, female"
"BAR.SEC.SCHL.7074","Barro-Lee: Average years of secondary schooling, age 70-74, total"
"BAR.SEC.SCHL.75UP.FE","Barro-Lee: Average years of secondary schooling, age 75+, female"
"BAR.SEC.SCHL.75UP","Barro-Lee: Average years of secondary schooling, age 75+, total"
"BAR.TER.SCHL.15UP.FE","Barro-Lee: Average years of tertiary schooling, age 15+, female"
"BAR.TER.SCHL.15UP","Barro-Lee: Average years of tertiary schooling, age 15+, total"
"BAR.TER.SCHL.1519.FE","Barro-Lee: Average years of tertiary schooling, age 15-19, female"
"BAR.TER.SCHL.1519","Barro-Lee: Average years of tertiary schooling, age 15-19, total"
"BAR.TER.SCHL.2024.FE","Barro-Lee: Average years of tertiary schooling, age 20-24, female"
"BAR.TER.SCHL.2024","Barro-Lee: Average years of tertiary schooling, age 20-24, total"
"BAR.TER.SCHL.25UP.FE","Barro-Lee: Average years of tertiary schooling, age 25+, female"
"BAR.TER.SCHL.25UP","Barro-Lee: Average years of tertiary schooling, age 25+, total"
"BAR.TER.SCHL.2529.FE","Barro-Lee: Average years of tertiary schooling, age 25-29, female"
"BAR.TER.SCHL.2529","Barro-Lee: Average years of tertiary schooling, age 25-29, total"
"BAR.TER.SCHL.3034.FE","Barro-Lee: Average years of tertiary schooling, age 30-34, female"
"BAR.TER.SCHL.3034","Barro-Lee: Average years of tertiary schooling, age 30-34, total"
"BAR.TER.SCHL.3539.FE","Barro-Lee: Average years of tertiary schooling, age 35-39, female"
"BAR.TER.SCHL.3539","Barro-Lee: Average years of tertiary schooling, age 35-39, total"
"BAR.TER.SCHL.4044.FE","Barro-Lee: Average years of tertiary schooling, age 40-44, female"
"BAR.TER.SCHL.4044","Barro-Lee: Average years of tertiary schooling, age 40-44, total"
"BAR.TER.SCHL.4549.FE","Barro-Lee: Average years of tertiary schooling, age 45-49, female"
"BAR.TER.SCHL.4549","Barro-Lee: Average years of tertiary schooling, age 45-49, total"
"BAR.TER.SCHL.5054.FE","Barro-Lee: Average years of tertiary schooling, age 50-54, female"
"BAR.TER.SCHL.5054","Barro-Lee: Average years of tertiary schooling, age 50-54, total"
"BAR.TER.SCHL.5559.FE","Barro-Lee: Average years of tertiary schooling, age 55-59, female"
"BAR.TER.SCHL.5559","Barro-Lee: Average years of tertiary schooling, age 55-59, total"
"BAR.TER.SCHL.6064.FE","Barro-Lee: Average years of tertiary schooling, age 60-64, female"
"BAR.TER.SCHL.6064","Barro-Lee: Average years of tertiary schooling, age 60-64, total"
"BAR.TER.SCHL.6569.FE","Barro-Lee: Average years of tertiary schooling, age 65-69, female"
"BAR.TER.SCHL.6569","Barro-Lee: Average years of tertiary schooling, age 65-69, total"
"BAR.TER.SCHL.7074.FE","Barro-Lee: Average years of tertiary schooling, age 70-74, female"
"BAR.TER.SCHL.7074","Barro-Lee: Average years of tertiary schooling, age 70-74, total"
"BAR.TER.SCHL.75UP.FE","Barro-Lee: Average years of tertiary schooling, age 75+, female"
"BAR.TER.SCHL.75UP","Barro-Lee: Average years of tertiary schooling, age 75+, total"
"BAR.SCHL.15UP.FE","Barro-Lee: Average years of total schooling, age 15+, female"
"BAR.SCHL.15UP","Barro-Lee: Average years of total schooling, age 15+, total"
"BAR.SCHL.1519.FE","Barro-Lee: Average years of total schooling, age 15-19, female"
"BAR.SCHL.1519","Barro-Lee: Average years of total schooling, age 15-19, total"
"BAR.SCHL.2024.FE","Barro-Lee: Average years of total schooling, age 20-24, female"
"BAR.SCHL.2024","Barro-Lee: Average years of total schooling, age 20-24, total"
"BAR.SCHL.25UP.FE","Barro-Lee: Average years of total schooling, age 25+, female"
"BAR.SCHL.25UP","Barro-Lee: Average years of total schooling, age 25+, total"
"BAR.SCHL.2529.FE","Barro-Lee: Average years of total schooling, age 25-29, female"
"BAR.SCHL.2529","Barro-Lee: Average years of total schooling, age 25-29, total"
"BAR.SCHL.3034.FE","Barro-Lee: Average years of total schooling, age 30-34, female"
"BAR.SCHL.3034","Barro-Lee: Average years of total schooling, age 30-34, total"
"BAR.SCHL.3539.FE","Barro-Lee: Average years of total schooling, age 35-39, female"
"BAR.SCHL.3539","Barro-Lee: Average years of total schooling, age 35-39, total"
"BAR.SCHL.4044.FE","Barro-Lee: Average years of total schooling, age 40-44, female"
"BAR.SCHL.4044","Barro-Lee: Average years of total schooling, age 40-44, total"
"BAR.SCHL.4549.FE","Barro-Lee: Average years of total schooling, age 45-49, female"
"BAR.SCHL.4549","Barro-Lee: Average years of total schooling, age 45-49, total"
"BAR.SCHL.5054.FE","Barro-Lee: Average years of total schooling, age 50-54, female"
"BAR.SCHL.5054","Barro-Lee: Average years of total schooling, age 50-54, total"
"BAR.SCHL.5559.FE","Barro-Lee: Average years of total schooling, age 55-59, female"
"BAR.SCHL.5559","Barro-Lee: Average years of total schooling, age 55-59, total"
"BAR.SCHL.6064.FE","Barro-Lee: Average years of total schooling, age 60-64, female"
"BAR.SCHL.6064","Barro-Lee: Average years of total schooling, age 60-64, total"
"BAR.SCHL.6569.FE","Barro-Lee: Average years of total schooling, age 65-69, female"
"BAR.SCHL.6569","Barro-Lee: Average years of total schooling, age 65-69, total"
"BAR.SCHL.7074.FE","Barro-Lee: Average years of total schooling, age 70-74, female"
"BAR.SCHL.7074","Barro-Lee: Average years of total schooling, age 70-74, total"
"BAR.SCHL.75UP.FE","Barro-Lee: Average years of total schooling, age 75+, female"
"BAR.SCHL.75UP","Barro-Lee: Average years of total schooling, age 75+, total"
"BAR.NOED.15UP.FE.ZS","Barro-Lee: Percentage of female population age 15+ with no education"
"BAR.PRM.CMPT.15UP.FE.ZS","Barro-Lee: Percentage of female population age 15+ with primary schooling. Completed Primary"
"BAR.PRM.ICMP.15UP.FE.ZS","Barro-Lee: Percentage of female population age 15+ with primary schooling. Total (Incomplete and Completed Primary)"
"BAR.SEC.CMPT.15UP.FE.ZS","Barro-Lee: Percentage of female population age 15+ with secondary schooling. Completed Secondary"
"BAR.SEC.ICMP.15UP.FE.ZS","Barro-Lee: Percentage of female population age 15+ with secondary schooling. Total (Incomplete and Completed Secondary)"
"BAR.TER.CMPT.15UP.FE.ZS","Barro-Lee: Percentage of female population age 15+ with tertiary schooling. Completed Tertiary"
"BAR.TER.ICMP.15UP.FE.ZS","Barro-Lee: Percentage of female population age 15+ with tertiary schooling. Total (Incomplete and Completed Tertiary)"
"BAR.NOED.1519.FE.ZS","Barro-Lee: Percentage of female population age 15-19 with no education"
"BAR.PRM.CMPT.1519.FE.ZS","Barro-Lee: Percentage of female population age 15-19 with primary schooling. Completed Primary"
